Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Julian, Thomas Henry; Broadbent, Rosie Helen; Ward, Alex Elizabeth; ",Surgical vs non-surgical management of Weber B fractures: a systematic review,Foot and Ankle Surgery,26,5,494-502,2020,Elsevier
"Julian, Thomas Henry; Sarrigiannis, Ptolemaios Georgios; Girach, Ayesha; Zis, Panagiotis; ",Tibial motor and sural electrophysiological relationship in subjects without and patients with mild axonal peripheral neuropathy,Acta Neurologica Belgica,120,3,677-680,2020,Springer International Publishing Cham
"Julian, Thomas; Hadjivassiliou, Marios; Zis, Panagiotis; ",Gluten sensitivity and epilepsy: a systematic review,Journal of Neurology,266,7,1557-1565,2019,Springer Berlin Heidelberg Berlin/Heidelberg
"Julian, Thomas Henry; Syeed, Rubiya; Glascow, Nicholas; Zis, Panagiotis; ",Alcohol-induced autonomic dysfunction: a systematic review,Clinical Autonomic Research,30,1,29-41,2020,Springer Berlin Heidelberg Berlin/Heidelberg
"Julian, Thomas; Syeed, Rubiya; Glascow, Nicholas; Angelopoulou, Efthalia; Zis, Panagiotis; ",B12 as a treatment for peripheral neuropathic pain: a systematic review,Nutrients,12,8,2221,2020,MDPI
"Julian, Thomas; Glascow, Nicholas; Syeed, Rubiya; Zis, Panagiotis; ",Alcohol-related peripheral neuropathy: a systematic review and meta-analysis,Journal of neurology,266,12,2907-2919,2019,Springer Berlin Heidelberg Berlin/Heidelberg
"Zis, Panagiotis; Julian, Thomas; Hadjivassiliou, Marios; ",Headache associated with coeliac disease: a systematic review and meta-analysis,Nutrients,10,10,1445,2018,MDPI
"Girach, Ayesha; Julian, Thomas Henry; Varrassi, Giustino; Paladini, Antonella; Vadalouka, Athina; Zis, Panagiotis; ",Quality of life in painful peripheral neuropathies: a systematic review,Pain Research and Management,2019,1,2091960,2019,Hindawi
"Angelopoulou, Efthalia; Paudel, Yam Nath; Julian, Thomas; Shaikh, Mohd Farooq; Piperi, Christina; ",Pivotal role of Fyn kinase in Parkinson’s disease and levodopa-induced dyskinesia: a novel therapeutic target?,Molecular neurobiology,58,4,1372-1391,2021,Springer US New York
"Julian, Thomas; Rekatsina, Martina; Shafique, Faiza; Zis, Panagiotis; ",Human immunodeficiency virus–related peripheral neuropathy: A systematic review and meta‐analysis,European journal of neurology,28,4,1420-1431,2021,
"Julian, TH; Broadbent, RH; Ward, AE; ",Surgical Versus Non-Surgical Management of Weber B Fractures: A Systematic Review.,BRITISH JOURNAL OF SURGERY,106,,105-105,2019,"WILEY 111 RIVER ST, HOBOKEN 07030-5774, NJ USA"
"Ramjiani, Vipul; Mudhar, Hardeep-Singh; Julian, Thomas; Auger, Graham; ",Sampling trabecular meshwork using TrabEx+,BMC ophthalmology,21,1,138,2021,BioMed Central London
